Date n time,Original file,Final desktop,New file name

2025-12-23 14:39,fpccc (2),Executable,fpccc (2)_11-11-25.exe
2025-12-23 14:39,fpccc,Executable,fpccc_11-11-25.exe
2025-12-23 14:39,kkkk,Executable,kkkk_15-12-25.exe
2025-12-23 14:39,obs,Executable,obs_26-10-25.exe
2025-12-23 14:39,ooo,Executable,ooo_08-12-25.exe
2025-12-23 14:39,pyth,Executable,pyth_16-10-25.exe
2025-12-23 14:39,VSCodeUserSetup_18-08-25,Executable,VSCodeUserSetup_18_18-08-25.exe

2025-12-23 16:10,image_30-11-25_2,Image,image_30-11-25_4.jpg
2025-12-23 16:10,image_30-11-25_3,Image,image_30-11-25_5.jpg
2025-12-23 16:10,no_type_23-12-25,basura,no_type_23-12-25.bmp
2025-12-23 16:10,image_30-11-25,Image,image_30-11-25_6.jpg
2025-12-23 16:10,image_30-11-25_1,Image,image_30-11-25_7.jpg
2025-12-23 16:10,l,Text,text_23-12-25.txt

Date n time,Original file,Final desktop,New file name
2025-12-23 16:20,image_30-11-25_4,Image,image_30-11-25.jpg
2025-12-23 16:20,image_30-11-25_5,Image,image_30-11-25_1.jpg
2025-12-23 16:20,image_30-11-25_6,Image,image_30-11-25_2.jpg
2025-12-23 16:20,BlueJ_15-09-25,Executable,BlueJ_15_15-09-25.lnk
2025-12-23 16:20,CapCut_25-10-25,Executable,CapCut_25_25-10-25.lnk
2025-12-23 16:20,fpccc (2)_11-11-25,Executable,fpccc (2)_11_11-11-25.exe
2025-12-23 16:20,fpccc_11-11-25,Executable,fpccc_11_11-11-25.exe
2025-12-23 16:20,Free Pascal IDE,Executable,Free Pascal IDE_11-11-25.lnk
2025-12-23 16:20,Free Pascal IDE_11-11-25,Executable,Free Pascal IDE_11_11-11-25.lnk
2025-12-23 16:20,git_08-12-25,Executable,git_08_08-12-25.exe
2025-12-23 16:20,Lazarus,Executable,Lazarus_17-08-25_1.lnk
2025-12-23 16:20,no_type_23-12-25,basura,no_type_23-12-25.bmp

Date n time,Original file,Final desktop,New file name
2025-12-23 16:24,image_30-11-25,Image,image_30-11-25.jpg
2025-12-23 16:24,image_30-11-25_1,Image,image_30-11-25_1.jpg
2025-12-23 16:24,image_30-11-25_2,Image,image_30-11-25_2.jpg

Date n time,Original file,Final desktop,New file name
2025-12-23 17:07,l,Undetermined,no_type_23-12-25.pptx
2025-12-23 17:07,llll,Text,text_23-12-25_1.txt
2025-12-23 17:07,kk,Undetermined,no_type_23-12-25.xlsx

